Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Location,location_area,Price_in_Cr,is_commercial,is_residential,Price_per_sqft,floor_level
1040 Sq Ft Properly Developed Flat For Sale In Rajanigandha Residential Area,2.0,2.0,1.0,vacant,1040.0,dhaka,"Section 15, Mirpur",mirpur,0.65,0.0,1.0,6250.0,low
"A 1620 Sq Ft Residential Apartment For Sale, In Block C, Khilgaon",3.0,3.0,4.0,vacant,1620.0,dhaka,"Block C, Khilgaon",khilgaon,1.65,0.0,1.0,10185.19,medium
Flat For Sale Covering A Beautiful Area In Bashundhara R-a Nearby Basundhara Residential Area Puja Mondop.,3.0,3.0,4.0,vacant,1550.0,dhaka,"Block I, Bashundhara R-A",bashundhara,1.45,0.0,1.0,9354.84,medium
"1000 Sq Ft Apartment For Sale In Pallabi, Mirpur",2.0,2.0,5.0,vacant,1000.0,dhaka,"Pallabi, Mirpur",mirpur,0.55,0.0,1.0,5500.0,medium
"We Offer You An Excellent And Spacious Commercial Space Of 1840 Sq Ft At Tejgaon, For Sale",,,3.0,vacant,1840.0,dhaka,"Hatir Jheel Link Road, Tejgaon",tejgaon,4.6,1.0,0.0,25000.0,low
A Standard Apartment In Mirpur Near To M.A Zabbar Memorial High School Is Up For Sale,2.0,2.0,2.0,vacant,740.0,dhaka,"Pirerbag, Mirpur",mirpur,0.4,0.0,1.0,5405.41,low
An Attractively Designed 1250 Sq Ft Apartment For Sale In Mirpur Section 10,3.0,3.0,6.0,vacant,1250.0,dhaka,"Section 10, Mirpur",mirpur,0.78,0.0,1.0,6240.0,medium
"Buy This Modest 1430 Sq Ft Flat In Bashundhara R-a, Block J",3.0,3.0,5.0,vacant,1430.0,dhaka,"Block J, Bashundhara R-A",bashundhara,1.2,0.0,1.0,8391.61,medium
Celebrate Life Each Day In Your New Apartment Of 1690 Sq Ft At Boro Maghbazar With Your Beloved Family,3.0,3.0,1.0,vacant,1690.0,dhaka,"Boro Maghbazar, Maghbazar",maghbazar,1.48,0.0,1.0,8757.4,low
A 1330 Square Ft. Apartment Is For Sale At Banasree,3.0,3.0,1.0,vacant,1330.0,dhaka,"Block B, Banasree",banasree,0.79,0.0,1.0,5939.85,low
An Impressive 1230 Sq Ft Residential Apartment Is Up For Sale In The Center Of East Shewrapara Near To Jheelpar Jame Masjid,3.0,3.0,2.0,vacant,1230.0,dhaka,"East Shewrapara, Mirpur",mirpur,0.74,0.0,1.0,6016.26,low
An Apartment Of 1700 Sq Ft Is Ready For Sale At Uttara,3.0,3.0,7.0,vacant,1700.0,dhaka,"Sector 7, Uttara",uttara,1.7,0.0,1.0,10000.0,medium
"1300 Sq Ft Residential Apartment Is Up For Sale At Uttara, Sector 10",3.0,3.0,6.0,vacant,1300.0,dhaka,"Sector 10, Uttara",uttara,0.8,0.0,1.0,6153.85,medium
A Convenient 1175 Sq Ft Residential Apartment Is Prepared For Sale At South Pirerbag,3.0,2.0,6.0,vacant,1175.0,dhaka,"Pirerbag, Mirpur",mirpur,0.63,0.0,1.0,5361.7,medium
"In East Monipur , 1265 Square Feet Apartment Is For Sale.",3.0,3.0,6.0,vacant,1265.0,dhaka,"East Monipur, Mirpur",mirpur,0.85,0.0,1.0,6719.37,medium
"Residential Apartment For Sale in Tipu Sultan Road, Middle Pirerbag",3.0,2.0,7.0,vacant,1000.0,dhaka,"Pirerbag, Mirpur",mirpur,0.57,0.0,1.0,5700.0,medium
A Delightful Apartment Of 1554 Sq Ft Is Ready For Sale In A Great Location Of Pallabi,3.0,3.0,1.0,vacant,1554.0,dhaka,"Pallabi, Mirpur",mirpur,1.15,0.0,1.0,7400.26,low
1570 Sq Ft Flat For Sale In Imandipur Road near Imandipur Government Primary School,3.0,3.0,8.0,vacant,1570.0,dhaka,"Imandipur, Savar",savar,0.56,0.0,1.0,3566.88,medium
Visit This Apartment For Sale In East Monipur Near Life Aid Specialized Hospital Pvt. Ltd.,3.0,2.0,5.0,vacant,1050.0,dhaka,"East Monipur, Mirpur",mirpur,0.45,0.0,1.0,4285.71,medium
Check This Nice 815 Sq Ft Flat For Sale At East Monipur Nearby Monipur Baitur Rowshon Jame Masjid,2.0,2.0,6.0,vacant,815.0,dhaka,"East Monipur, Mirpur",mirpur,0.42,0.0,1.0,5153.37,medium
Stunning 2553 Square Feet Apartment For Sale In Uttara 5,4.0,5.0,7.0,vacant,2553.0,dhaka,"Sector 5, Uttara",uttara,3.8,0.0,1.0,14884.45,medium
Commodious 1590 Sq Ft Flat For Sale In Banasree,3.0,3.0,6.0,vacant,1590.0,dhaka,"Block B, Banasree",banasree,1.12,0.0,1.0,7044.03,medium
"2000 Sq Ft Flat For Sale In Banasree, Block A",4.0,4.0,4.0,vacant,2000.0,dhaka,"Block A, Banasree",banasree,2.15,0.0,1.0,10750.0,medium
"Grab This 800 Square Feet Apartment For Sale In Bashundhara, Block J",2.0,2.0,4.0,vacant,800.0,dhaka,"Block J, Bashundhara R-A",bashundhara,0.86,0.0,1.0,10750.0,medium
We Are Offering You A Very Spacious 1960 Sq Ft Flat For Sale In Gulshan 1,3.0,4.0,3.0,vacant,1960.0,dhaka,"Gulshan 1, Gulshan",gulshan,3.9,0.0,1.0,19897.96,low
Valuable 1705 Square Feet Apartment Is Ready To Sale In Kalabagan,3.0,3.0,1.0,vacant,1705.0,dhaka,"Lake Circus Road, Kalabagan",kalabagan,1.69,0.0,1.0,9912.02,low
1370 square feet apartment is ready to sale in Shukrabad,3.0,3.0,6.0,vacant,1370.0,dhaka,"Shukrabad, Dhanmondi",dhanmondi,1.25,0.0,1.0,9124.09,medium
"2125 Square Feet Apartment For Sale In Bashundhara R-a, Block L",3.0,3.0,4.0,vacant,2125.0,dhaka,"Block L, Bashundhara R-A",bashundhara,2.0,0.0,1.0,9411.76,medium
Buy This 2687 Square Feet Flat In The Nice Area Of Banani,3.0,3.0,4.0,vacant,2687.0,dhaka,"Road No 25, Banani",banani,4.75,0.0,1.0,17677.71,medium
Modern 1150 Sq Ft Flat For Sale In Badda,3.0,3.0,3.0,vacant,1150.0,dhaka,"Middle Badda, Badda",badda,0.88,0.0,1.0,7652.17,low
"2119 Sq Ft Apartment For Sale In Bashundhara R-a, Near North South University",3.0,3.0,8.0,vacant,2119.0,dhaka,"Block B, Bashundhara R-A",bashundhara,1.9,0.0,1.0,8966.49,medium
Live A Restful Life In This 2318 Square Feet Flat For Sale In Bashundhara R-a,4.0,4.0,2.0,vacant,2318.0,dhaka,"Block D, Bashundhara R-A",bashundhara,2.3,0.0,1.0,9922.35,low
Worthy 1397 Sq Ft Nice Flat Is Ready For Sale At Demra,3.0,3.0,8.0,vacant,1397.0,dhaka,"Matuail, Demra",demra,0.8,0.0,1.0,5726.56,medium
Offering You 2400 Sq Ft Flat For Sale In Aftab Nagar,3.0,3.0,1.0,vacant,2400.0,dhaka,"Block H, Aftab Nagar",aftab nagar,2.0,0.0,1.0,8333.33,low
1300 Square Feet Residential Flat With Nicely Built Rooms Is Up For Sale In Shyampur,3.0,3.0,3.0,vacant,1300.0,dhaka,"West Dolairpar, Shyampur",shyampur,0.8,0.0,1.0,6153.85,low
Nice 1300 Sq Ft Flat Is Available For Sale In Shyampur,3.0,3.0,4.0,vacant,1300.0,dhaka,"West Dolairpar, Shyampur",shyampur,0.8,0.0,1.0,6153.85,medium
1300 Sq Ft Flat Is Now Vacant For Sale In Shyampur,3.0,3.0,6.0,vacant,1300.0,dhaka,"West Dolairpar, Shyampur",shyampur,0.8,0.0,1.0,6153.85,medium
1900 Sq Ft Residential Duplex Property Is Now For Sale Which Is In Bashundhara R-a,3.0,3.0,1.0,vacant,1900.0,dhaka,"Block B, Bashundhara R-A",bashundhara,2.1,0.0,1.0,11052.63,low
Property In Aftab Nagar– 1500 Sq Ft Flat For Sale,3.0,3.0,5.0,vacant,1500.0,dhaka,"Block H, Aftab Nagar",aftab nagar,1.1,0.0,1.0,7333.33,medium
Uttara Is Offering You A 1450 Sq Ft Residential Apartment Up For Sale,3.0,3.0,3.0,vacant,1450.0,dhaka,"Sector 10, Uttara",uttara,0.95,0.0,1.0,6551.72,low
Offering you 750 SQ FT flat for sale in Uttara 10,2.0,2.0,2.0,vacant,750.0,dhaka,"Sector 10, Uttara",uttara,0.62,0.0,1.0,8266.67,low
Visit This 2343 Sq Ft Flat For Sale In Uttara Sector 6.,3.0,3.0,4.0,vacant,2343.0,dhaka,"Sector 6, Uttara",uttara,2.2,0.0,1.0,9389.67,medium
"1350 Sq Ft Flat Sale In Free School Street Road, Kathalbagan",3.0,3.0,2.0,vacant,1350.0,dhaka,"Free School Street, Kathalbagan",kathalbagan,1.42,0.0,1.0,10518.52,low
Comfortable Flat Is Up For Sale In Pallabi Nearby City Club Ground,3.0,3.0,5.0,vacant,1200.0,dhaka,"Pallabi, Mirpur",mirpur,0.75,0.0,1.0,6250.0,medium
"Picture Yourself, Residing In This Well Constructed And Planned 2045 Sq Ft Apartment In Uttara-7, For Sale",3.0,3.0,1.0,vacant,2045.0,dhaka,"Sector 7, Uttara",uttara,2.36,0.0,1.0,11540.34,low
Offering 1500 Sq Ft Flat For Sale In Niketan,3.0,3.0,1.0,vacant,1500.0,dhaka,"Block C, Niketan",niketan,2.5,0.0,1.0,16666.67,low
Pleasant 1410 Sq Ft Residential Apartment For Sale In Shantinagar,3.0,3.0,4.0,vacant,1410.0,dhaka,"Vashani Goli, Shantinagar",shantinagar,1.38,0.0,1.0,9787.23,medium
A Standard Lifestyle Is Awaiting You In This 650 Square Feet Flat Up For Sale In Sutrapur,2.0,2.0,5.0,vacant,650.0,dhaka,"Gandaria, Sutrapur",sutrapur,0.4,0.0,1.0,6153.85,medium
Vacant Now | 1185 Sq Ft | Three Bedrooms Apt. | Ready To Move,3.0,3.0,5.0,vacant,1185.0,dhaka,"Lake Circus Road, Kalabagan",kalabagan,1.1,0.0,1.0,9282.7,medium
"In A Great Location Of Bashundhara R-a, Block H, 1610 Sq Ft Apartment Is Up For Sale",3.0,3.0,4.0,vacant,1610.0,dhaka,"Block H, Bashundhara R-A",bashundhara,1.31,0.0,1.0,8136.65,medium
"You can buy this lovely apartment of 2180 sq ft to live a relaxed life at Bashundhara R-A, Block J",4.0,4.0,7.0,vacant,2180.0,dhaka,"Block J, Bashundhara R-A",bashundhara,1.75,0.0,1.0,8027.52,medium
"Wonderful Flat Covering An Area Of 3,650 Sq Ft Is Available For Sale In Gulshan 2",4.0,4.0,2.0,vacant,3650.0,dhaka,"Gulshan 2, Gulshan",gulshan,7.8,0.0,1.0,21369.86,low
"Large 5000 Sq Ft Commercial Space For Sale In Free School Street Road, Kathalbagan",,,9.0,vacant,5000.0,dhaka,"Free School Street, Kathalbagan",kathalbagan,11.0,1.0,0.0,22000.0,high
2700 Square Feet Apartment For Sale In Gulshan 1,3.0,3.0,3.0,vacant,2700.0,dhaka,"Gulshan 1, Gulshan",gulshan,5.5,0.0,1.0,20370.37,low
