Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Location,location_area,Price_in_Cr
Buy This 1375 Sq Ft Apartment In Mirpur-6,3.0,3.0,5,vacant,1375.0,dhaka,"Section 6, Mirpur",mirpur,1.21
Full Commercial Building With 30.55 Katha Land Is Up For Sale In Hemayetpur,,,4,vacant,21500.0,dhaka,"Hemayetpur, Savar",savar,22.0
Worthy 900 SQ FT residence is for sale at North Pirerbag,3.0,2.0,2,vacant,900.0,dhaka,"Pirerbag, Mirpur",mirpur,0.5
"This 1008 Sq.Ft Convenient Flat Is For Sale In Shadheenata Sharani, Mirpur 10.",3.0,3.0,5,vacant,1008.0,dhaka,"Section 10, Mirpur",mirpur,0.48
For Selling Purpose This 1055 Sq.Ft Flat Is Now Vacant In Army Housing Society Road-Moushair .,3.0,2.0,3,vacant,1055.0,dhaka,"Moushair, Dakshin Khan",dakshin khan,0.53
Grab This 1800 Sq.Ft Apartment Up For Sale At Bashundhara R-A Beside Viquarunnisa Noon School and College,3.0,3.0,5,vacant,1800.0,dhaka,"Block F, Bashundhara R-A",bashundhara,1.6
1250 Square Feet-3 Bedroom Residential Apartment For Sale Close To East Ahmed Nagar Baitul Ekram Masjid.,3.0,3.0,2,vacant,1250.0,dhaka,"Ahmed Nagar, Mirpur",mirpur,0.52
A 2146 Sq. Ft Residential Building For Sale Is All Set For You To Settle In Dendabor.,8.0,4.0,,vacant,2146.0,dhaka,"Ashulia, Savar",savar,1.05
"Let Us Assist You To Buy This 900 Sq.Ft Flat At Sugandha Housing, Hemayetpur Summiting The Vision About Your Future Home.",3.0,2.0,9,vacant,900.0,dhaka,"Hemayetpur, Savar",savar,0.29
"1050 Sq Ft Flat For Sale In Radio Colony, Savar",2.0,2.0,6,vacant,1050.0,dhaka,"Radio Colony, Savar",savar,0.34
Find 1250 SQ FT flat available for sale in Bashundhara R-A,3.0,3.0,2,vacant,1250.0,dhaka,"Block C, Bashundhara R-A",bashundhara,1.15
"Offering You An Excellent 1675 Sq Ft Flat For Sale In Shah Ali Bag, Mirpur",3.0,3.0,9,vacant,1675.0,dhaka,"Section 1, Mirpur",mirpur,0.97
"Worthy 1300 Sq Ft Residential Apartment Is For Sale At Ahmed Nagar, Mirpur",3.0,3.0,1,vacant,1300.0,dhaka,"Ahmed Nagar, Mirpur",mirpur,0.75
There Is 3 Bedroom Apartment Up For Sale In The Location Of Dhanmondi Near Sunnydale.,3.0,4.0,1,vacant,2787.0,dhaka,"Road No 12A, Dhanmondi",dhanmondi,2.9
5040 Sq. Ft Apartment Which Is Up For Sale At Bashundhara R-a Near To Ebenzer International School.,4.0,4.0,9,vacant,5040.0,dhaka,"Block C, Bashundhara R-A",bashundhara,5.4
"An Apartment Is Ready For Sale At Uttara -9, Near Uttara Ideal College",3.0,2.0,5,vacant,986.0,dhaka,"Sector 9, Uttara",uttara,0.62
Visit This Apartment For Sale In Dakshin Khan Near Nogoriabari Mohammadia Jame Masjid,2.0,2.0,5,vacant,920.0,dhaka,"South Chalabon, Dakshin Khan",dakshin khan,0.33
Flat For Sale In Agargaon Close To Agargaon Jame Masjid,3.0,3.0,1,vacant,1275.0,dhaka,"West Agargaon, Agargaon",agargaon,0.85
An Exemplary Flat For You Is Offered By Us Near To NCC Bank Limited,3.0,3.0,2,vacant,2290.0,dhaka,"Block B, Bashundhara R-A",bashundhara,2.25
1400 Sq Ft Flat Is Available For Sale In Mirpur 12 Nearby City Bank,3.0,3.0,2,vacant,1400.0,dhaka,"Section 12, Mirpur",mirpur,0.78
A Reasonable Apartment Is Available For Sale At Mirpur-10,3.0,2.0,4,vacant,1075.0,dhaka,"Section 10, Mirpur",mirpur,0.55
"Nice Flat Can Be Found In Uttara For Sale, Near Friends Club Playground",3.0,3.0,1,vacant,1300.0,dhaka,"Sector 5, Uttara",uttara,0.96
Ready Apartment For Sale At Ashkona Nearby Chad Jame Masjid,3.0,3.0,2,vacant,1135.0,dhaka,"Ashkona, Dakshin Khan",dakshin khan,0.75
"Nearly Finished Apartment Is Up For Sale In Mirpur Section 10, Near To Darland International School",2.0,2.0,2,vacant,855.0,dhaka,"Section 10, Mirpur",mirpur,0.47
"Convenient Flat Is Up For Sale In Rampura Nearby Rupali Bank Limited, Rampura Branch",3.0,3.0,2,vacant,1425.0,dhaka,"East Rampura, Rampura",rampura,0.9
2380 Sq Ft Apartment For sale At Bashundhara R-A Nearby Playpen School Junior Section,3.0,4.0,4,vacant,2380.0,dhaka,"Block D, Bashundhara R-A",bashundhara,2.15
"Set Up Your New Office In The Busiest Location Of West Rampura, An Open Space Is Prepared To Be Sale Nearby Rajdhani Ideal School &amp; College",,,5,vacant,2600.0,dhaka,"West Rampura, Rampura",rampura,3.12
We Bring You A Beautiful And Distinct Flat Of 2000 Sq Ft For Sale In Baitul Aman Housing Society,4.0,4.0,4,vacant,2000.0,dhaka,"Baitul Aman Housing Society, Adabor",adabor,1.48
Buy This 1600 Sq Ft Beautiful Apartment In Uttara-12,3.0,3.0,2,vacant,1600.0,dhaka,"Sector 12, Uttara",uttara,1.4
Ready Flat Is Now For Sale In Mirpur Dohs Nearby Mirpur Dohs Central Mosque,4.0,4.0,3,vacant,2200.0,dhaka,"Mirpur DOHS, Mirpur",mirpur,2.5
3474 Square Feet Spacious Apartment For Sale In Uttara-3,4.0,4.0,8,vacant,3474.0,dhaka,"Sector 3, Uttara",uttara,4.5
